option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-1.0,0.0,0.0,0.0,,0.2791176158659453
PUT,-1.0,0.0,0.0,0.0,,-0.906080449017774
PUT,-0.99078,0.00022,-0.51009,0.00487,4.30713,-0.0015939990623532
PUT,-1.0,0.0,0.0,0.0,,-0.1659321024419299
PUT,-0.92728,0.00517,-0.16761,0.05874,0.62999,0.1394144144144145
PUT,-0.93364,0.00268,-0.2185,0.19492,0.31841,-1.0
PUT,-1.0,0.0,0.0,0.0,,0.3629002381582429
PUT,-0.91691,0.00126,-0.08622,0.07624,0.49532,0.1417269657501202
PUT,-0.96573,0.00142,-0.06441,0.06044,0.59457,-0.2714582467802242
PUT,-0.95748,0.00111,-0.11758,0.08932,0.78517,-0.1145749549299681
PUT,-0.98422,0.00069,-0.06859,0.02182,1.02943,0.1449509521061741
PUT,-0.92482,0.00057,-0.26417,0.16436,0.47563,0.3087719298245618
PUT,-1.0,0.0,0.0,0.0,,0.0096646942800787
PUT,-0.9609,0.00326,-0.02984,0.05313,0.40872,-0.3257943925233646
PUT,-1.0,0.0,0.0,-1695.39962,,-0.3938872403560831
PUT,-1.0,0.0,0.0,2.03096,,-0.7216230458457754
PUT,-1.0,0.0,0.0,0.0,,-0.2411234217985056
PUT,-0.93409,0.00279,-0.1953,0.15867,0.3765,6.453694740269603e-05
PUT,-1.0,0.0,0.0,0.0,,3.529124722743559
PUT,-0.90129,0.00136,-0.03651,0.16264,0.34981,-1.0
PUT,-1.0,0.0,0.0,0.0,,-0.5199177236887214
PUT,-0.95304,0.00589,-0.06644,0.0396,0.38764,-0.3343258891645987
PUT,-0.97458,0.0012,-0.07901,0.03195,0.86779,-0.1735360591740291
PUT,-1.0,0.0,0.0,0.0,,-0.2176405243279269
PUT,-1.0,0.0,0.0,0.0,,0.0246932515337425
PUT,-1.0,0.0,0.0,1.70746,,-0.1065381609794217
PUT,-1.0,0.0,0.0,0.0,,-0.0205386620330148
PUT,-0.90147,0.00128,-0.17999,0.25099,0.45787,-0.1583747927031508
PUT,-1.0,0.0,0.0,0.0,,0.4812763395544852
PUT,-1.0,0.0,0.0,0.0,,0.1634473798181034
PUT,-0.90537,0.00018,-0.26669,0.19116,0.63434,-0.0979849253960926
PUT,-0.96804,0.00113,-0.07096,0.07344,0.58736,-0.0871830985915492
PUT,-1.0,0.0,0.0,0.0,,3.453898305084745
PUT,-1.0,0.0,0.0,0.0,,0.0966312056737589
PUT,-1.0,0.0,0.0,-1952.99974,0.00093,-0.0342592592592592
PUT,-1.0,0.0,0.0,0.0,,10.0
PUT,-0.91342,0.00573,-0.25037,0.14214,0.30403,0.2514605344934749
PUT,-1.0,0.0,0.0,0.0,,-0.3066336019838812
PUT,-1.0,0.0,0.0,0.0,,0.1375694514597433
PUT,-1.0,0.0,0.0,0.0,,0.0601246105919003
PUT,-0.93173,0.0094,-0.14478,0.01748,0.62787,0.8466115702479343
PUT,-0.98265,0.00204,-0.45503,0.00776,1.06425,-0.0098859315589354
PUT,-1.0,0.0,0.0,0.0,,-0.042049020439318
PUT,-1.0,0.0,0.0,0.0,,0.0737436696532918
PUT,-0.92048,0.0019,-0.09997,0.01783,1.18028,-0.3064039408866993
PUT,-0.90637,0.00199,-0.28579,0.22189,0.64097,-0.2561072852482782
PUT,-0.99107,0.00099,-0.01834,0.01294,0.4643,0.1180851063829784
PUT,-0.91001,0.0091,-0.05955,0.08602,0.24966,0.5036319612590806
PUT,-0.96369,0.00132,-0.56181,0.02827,1.7174,-0.0295892402762631
PUT,-1.0,0.0,0.0,0.0,0.0004,0.3631209996952148
PUT,-1.0,0.0,0.0,0.0,,2.395948434622468
PUT,-1.0,0.0,0.0,0.0,,0.2810457516339869
PUT,-0.90298,0.00608,-0.19617,0.04435,0.70882,-0.0668879668049788
PUT,-0.95686,0.00103,-0.06519,0.15724,0.53195,-0.4057225994180406
PUT,-1.0,0.0,0.0,0.0,,0.2603356890459365
PUT,-1.0,0.0,0.0,0.0,,0.223551518947698
PUT,-1.0,0.0,0.0,-2224.40028,,0.0322492917847025
PUT,-1.0,0.0,0.0,0.0,,0.4242112041210559
PUT,-1.0,0.0,0.0,0.0,,10.0
PUT,-1.0,0.0,0.0,0.0,,0.0838264866417698
PUT,-1.0,0.0,0.0,0.0,,0.2022884065286892
PUT,-1.0,0.0,0.0,0.0,,-0.3279112754158962
PUT,-1.0,0.0,0.0,0.0,,0.0091625615763547
PUT,-0.90792,0.00953,-0.10983,0.06569,0.33206,0.6486486486486491
PUT,-0.99285,0.00017,-0.03012,0.03102,0.70398,-0.2024762908324552
PUT,-0.91359,0.00258,-0.05422,0.09345,0.38282,-0.9014823261117448
