option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-0.49412,0.00198,-0.19726,1.98733,0.39279,3.580852775543042
PUT,-0.47254,0.01436,-0.37999,0.13354,0.8268,-1.0
PUT,-0.47471,0.00474,-0.11499,0.70557,0.47418,1.948314606741573
PUT,-0.47958,0.00524,-0.19443,0.6489,0.46962,-1.0
PUT,-0.44449,0.01341,-0.12951,0.27835,0.41666,-1.0
PUT,-0.48107,0.00733,-0.23693,0.49816,0.4325,-1.0
PUT,-0.43622,0.01564,-0.11985,0.15497,0.64464,-1.0
PUT,-0.4145,0.00339,-0.09207,0.9336,0.481,-1.0
PUT,-0.41098,0.00187,-0.04466,1.79389,0.42876,1.0954497354497357
PUT,-0.43494,0.0016,-0.11617,2.25955,0.42742,2.025249015520037
PUT,-0.48764,0.00483,-0.045,0.8466,0.37943,1.438308457711443
PUT,-0.42616,0.00419,-0.23131,0.97823,0.37568,-1.0
PUT,-0.40373,0.00171,-0.13744,1.74225,0.48347,-1.0
PUT,-0.40036,0.00378,-0.06771,0.91403,0.4313,-1.0
PUT,-0.47865,0.00535,-0.38677,0.67539,0.44068,-1.0
PUT,-0.41927,0.01403,-0.1723,0.20136,0.53984,-1.0
PUT,-0.47924,0.00463,-0.26776,0.67987,0.50504,-1.0
PUT,-0.48122,0.005,-0.44415,0.68605,0.45945,-0.3679693486590037
PUT,-0.40148,0.00542,-0.27518,0.36033,0.75637,-1.0
PUT,-0.43232,0.0063,-0.0512,0.62034,0.39255,-1.0
PUT,-0.49643,0.00508,-0.42687,0.85824,0.36336,-1.0
PUT,-0.41617,0.00445,-0.40505,0.93816,0.36751,-1.0
PUT,-0.49545,0.00205,-0.20367,2.01922,0.38889,3.760915867944621
PUT,-0.42286,0.00596,-0.53032,0.53821,0.48087,-1.0
PUT,-0.46319,0.00542,-0.33508,0.57745,0.50376,-1.0
PUT,-0.41513,0.01665,-0.16016,0.22273,0.41042,-1.0
PUT,-0.48534,0.0145,-1.57986,0.33359,0.32746,1.387822014051523
PUT,-0.49708,0.01609,-0.59056,0.22757,0.43302,-1.0
PUT,-0.42764,0.00466,-0.32976,0.77994,0.42297,-1.0
PUT,-0.4579,0.00546,-0.12326,0.59896,0.48235,2.708910891089109
PUT,-0.43872,0.01913,-0.47641,0.09886,0.82156,-1.0
PUT,-0.40277,0.00013,-0.6103,0.10809,5.16499,-0.0843657817109145
PUT,-0.49464,0.0061,-0.47016,0.55203,0.47036,-1.0
PUT,-0.4541,0.00475,-0.44882,0.65374,0.50156,-1.0
PUT,-0.4334,0.04706,-0.36961,0.08855,0.37157,-1.0
PUT,-0.44656,0.00495,-0.09111,0.65266,0.48278,1.0066365007541482
PUT,-0.41902,0.00668,-0.22669,0.38246,0.59865,-1.0
PUT,-0.42166,0.00685,-0.43976,0.54864,0.40874,-1.0
PUT,-0.49324,0.00579,-0.32228,0.70083,0.39073,-1.0
PUT,-0.42574,0.00717,-0.06303,0.54272,0.39513,-1.0
PUT,-0.42855,0.00852,-0.2971,0.30316,0.59632,-1.0
PUT,-0.42568,0.00221,-0.05395,1.57584,0.42648,0.2161310649023315
PUT,-0.45426,0.00799,-0.06115,0.52051,0.37471,-1.0
PUT,-0.41451,0.00207,-0.10403,1.51982,0.46154,-1.0
PUT,-0.46605,0.00224,-0.03651,1.59613,0.40887,0.835257731958763
PUT,-0.41739,0.00768,-0.42041,0.56257,0.35091,-1.0
PUT,-0.4496,0.00519,-0.09147,0.59665,0.49985,0.617582417582418
PUT,-0.45207,0.00875,-0.28394,0.30192,0.59217,-1.0
PUT,-0.43529,0.00663,-0.06232,0.62307,0.37497,-1.0
PUT,-0.48364,0.00189,-0.26775,2.11881,0.39853,4.759520083463745
PUT,-0.49007,0.00739,-0.61895,0.46479,0.46332,-1.0
PUT,-0.40334,0.01212,-0.16577,0.31172,0.3975,-0.5798994974874365
PUT,-0.4464,0.00346,-0.24324,1.0506,0.42896,-1.0
PUT,-0.47214,0.00195,-0.20732,2.03844,0.39444,3.957106812447434
PUT,-0.49938,0.00437,-0.04561,0.92195,0.38082,1.4279269602577878
PUT,-0.40599,0.00718,-0.06437,0.53719,0.38567,-1.0
PUT,-0.40606,0.00303,-0.12785,0.98406,0.49614,-1.0
PUT,-0.42193,0.00938,-0.29971,0.38749,0.41866,-1.0
PUT,-0.40808,0.00752,-1.33938,0.30012,0.66742,-1.0
PUT,-0.45196,0.00297,-0.11948,1.03424,0.5007,-1.0
PUT,-0.44515,0.00914,-0.19762,0.36064,0.47041,4.543937007874015
PUT,-0.46401,0.00324,-0.21359,1.37121,0.35361,7.164274809160305
PUT,-0.49004,0.00534,-0.53276,0.8311,0.35506,-0.3918032786885261
PUT,-0.4417,0.00846,-0.49997,0.21924,0.84076,-1.0
PUT,-0.46535,0.01933,-0.21413,0.1286,0.63797,-1.0
PUT,-0.43682,0.0081,-0.27343,0.41825,0.45979,-1.0
PUT,-0.49596,0.00453,-0.57656,0.91775,0.38357,10.0
PUT,-0.47944,0.00979,-0.24886,0.32092,0.50631,1.0011904761904769
PUT,-0.48322,0.00506,-0.07022,0.66339,0.47045,1.0044884488448842
PUT,-0.45709,0.00587,-0.45204,0.57143,0.46586,-1.0
PUT,-0.43259,0.00434,-0.35463,1.02071,0.35082,10.0
PUT,-0.47619,0.00537,-0.5001,0.56095,0.52339,-1.0
PUT,-0.40602,0.02804,-1.8691,0.07942,0.67296,-1.0
PUT,-0.42547,0.01412,-0.72899,0.16196,0.67133,-1.0
PUT,-0.44436,0.00458,-0.34301,0.72731,0.4702,-1.0
PUT,-0.4065,0.00431,-0.35262,1.02054,0.34182,10.0
PUT,-0.458,0.00531,-0.6562,0.58651,0.50318,1.703300624442462
PUT,-0.43921,0.02177,-1.06467,0.22744,0.31438,-1.0
PUT,-0.44996,0.03408,-0.97134,0.08372,0.5496,1.7802469135802448
PUT,-0.40346,0.00467,-0.30299,0.76254,0.41687,-1.0
PUT,-0.48258,0.00369,-0.04239,1.25493,0.33624,-1.0
PUT,-0.43604,0.00553,-0.19445,0.55895,0.50421,1.9418147801683816
PUT,-0.48529,0.00017,-0.14039,0.13907,3.48426,-0.0695802546769377
PUT,-0.4667,0.00756,-0.24185,0.41956,0.50088,2.380614657210402
PUT,-0.49318,0.00451,-0.44648,0.68543,0.51435,-1.0
PUT,-0.44592,0.01139,-0.08737,0.36055,0.38054,-1.0
PUT,-0.4551,0.00423,-0.27423,0.90826,0.40787,-1.0
PUT,-0.496,0.00363,-0.35962,0.87807,0.49594,-0.6095674300254463
PUT,-0.44691,0.00338,-0.08125,0.96571,0.46459,2.147808764940239
PUT,-0.40873,0.00487,-0.21294,0.64909,0.47614,-1.0
PUT,-0.44353,0.00323,-0.08662,1.04167,0.45971,2.425426944971537
PUT,-0.4107,0.02865,-0.22404,0.08747,0.60692,1.4837209302325598
PUT,-0.44147,0.0059,-0.41971,0.82758,0.3192,-1.0
PUT,-0.41757,0.00465,-0.09039,0.73524,0.44794,2.4389111289031224
PUT,-0.40176,0.02027,-0.21841,0.12522,0.58959,-1.0
PUT,-0.42306,0.02725,-0.18113,0.19466,0.28902,-1.0
PUT,-0.42269,0.00499,-0.30236,0.613,0.49781,-1.0
PUT,-0.40493,0.00649,-0.05199,0.59575,0.38351,-1.0
PUT,-0.44181,0.00739,-0.07279,0.57498,0.36521,-1.0
PUT,-0.42664,0.00503,-0.63044,0.48509,0.62991,-1.0
PUT,-0.46994,0.01018,-0.26246,0.21447,0.72765,-0.8253086419753078
PUT,-0.4584,0.00138,-0.11262,2.82888,0.38185,3.0931782945736432
PUT,-0.44076,0.00255,-0.15567,1.44019,0.42554,3.4863527533918592
PUT,-0.42247,0.00755,-0.58562,0.60237,0.33816,-1.0
PUT,-0.44657,0.00789,-0.39162,0.58694,0.3386,-1.0
PUT,-0.49168,0.00735,-0.29759,0.44514,0.48894,-1.0
PUT,-0.45264,0.00615,-0.36318,0.50506,0.50338,-1.0
PUT,-0.41354,0.00253,-0.38005,1.46233,0.40828,10.0
PUT,-0.4402,0.00819,-0.1861,0.40067,0.47075,4.875035663338089
PUT,-0.49409,0.02199,-0.20633,0.18153,0.39702,-1.0
PUT,-0.4046,0.01054,-0.61677,0.27915,0.50735,-1.0
PUT,-0.44667,0.00736,-0.4335,0.55019,0.38557,-1.0
PUT,-0.45815,0.00452,-0.39182,0.74506,0.468,-0.6302718589272582
PUT,-0.41094,0.01265,-0.57074,0.3472,0.34253,-1.0
PUT,-0.44399,0.01176,-0.70281,0.34933,0.37965,-1.0
PUT,-0.48371,0.0057,-0.39386,0.57671,0.4855,-1.0
PUT,-0.4115,0.00574,-0.54486,0.51148,0.51918,-1.0
PUT,-0.45227,0.00971,-0.25516,0.2873,0.56041,0.0223662884927072
PUT,-0.43948,0.00505,-0.48899,0.58784,0.52323,-1.0
PUT,-0.42638,0.00209,-0.14664,1.88086,0.38428,3.899257688229056
PUT,-0.49311,0.00281,-0.15673,1.45533,0.38459,3.872078907435508
PUT,-0.44545,0.0135,-0.15054,0.31775,0.36338,-1.0
PUT,-0.48242,0.00616,-0.51107,0.6604,0.39351,-1.0
PUT,-0.42265,0.01176,-0.16821,0.22359,0.58475,2.3307359307359303
PUT,-0.40057,0.00929,-0.76383,0.35029,0.45764,-1.0
PUT,-0.48783,0.00887,-0.48502,0.27833,0.64466,-1.0
PUT,-0.4001,0.00386,-0.03778,1.1427,0.33542,-1.0
PUT,-0.49703,0.00838,-0.3045,0.30971,0.61456,-1.0
PUT,-0.45196,0.00021,-0.26042,0.24774,2.44104,0.0633384536610343
PUT,-0.42932,0.0025,-0.03014,1.19033,0.46179,0.2526517571884985
PUT,-0.41242,0.00476,-0.09126,0.65176,0.48603,1.0472545757071552
PUT,-0.48956,0.02104,-0.22406,0.12962,0.58679,-1.0
PUT,-0.49744,0.00262,-0.04154,1.27782,0.43061,-0.3462539774370841
PUT,-0.49554,0.00429,-0.21372,0.78255,0.46755,-1.0
PUT,-0.43219,0.00697,-0.11646,0.4424,0.50369,1.9389870435806829
PUT,-0.49069,0.00692,-0.08,0.45283,0.5054,1.5836547291092746
PUT,-0.42219,0.00193,-0.06349,1.73839,0.44473,0.4877384196185286
PUT,-0.477,0.00274,-0.17172,1.41567,0.41082,-1.0
PUT,-0.46108,0.00477,-0.04756,0.97811,0.33663,-1.0
PUT,-0.43503,0.00263,-0.0986,1.14483,0.50016,2.2289080911233308
PUT,-0.40531,0.00397,-0.62688,0.91647,0.41798,10.0
PUT,-0.479,0.00421,-0.48528,0.71246,0.5242,-0.4722968650031989
PUT,-0.40316,0.01744,-0.16889,0.19804,0.43326,-1.0
PUT,-0.41708,0.01026,-0.08483,0.36939,0.39964,-1.0
PUT,-0.46761,0.00616,-0.25621,0.56944,0.45271,-1.0
PUT,-0.48581,0.00453,-0.21623,0.76473,0.45419,-1.0
PUT,-0.44457,0.00536,-0.10439,0.59109,0.49171,1.9396131202691331
PUT,-0.41957,0.00175,-0.20606,1.8283,0.48226,3.4541002277904327
PUT,-0.49881,0.00316,-0.53715,1.17037,0.42575,10.0
PUT,-0.46912,0.00656,-0.39767,0.48181,0.50227,-1.0
PUT,-0.41431,0.00883,-0.40039,0.33397,0.51333,-1.0
PUT,-0.48169,0.00383,-0.13083,0.7978,0.51422,1.1951967296882986
PUT,-0.46349,0.0054,-0.25509,0.79159,0.37053,-1.0
PUT,-0.47655,0.00114,-0.08936,2.8143,0.45733,1.4401
PUT,-0.44303,0.01601,-0.12951,0.28149,0.34547,0.4399999999999993
PUT,-0.41887,0.00853,-0.49156,0.46436,0.38444,-1.0
PUT,-0.45303,0.0019,-0.06407,1.77925,0.43338,0.5591531755915318
PUT,-0.43381,0.00435,-0.26594,0.6972,0.50762,-1.0
PUT,-0.44063,0.0019,-0.09159,1.72935,0.45522,1.2781435509983807
PUT,-0.43609,0.00134,-0.1137,2.24978,0.49449,1.2113997113997117
PUT,-0.42781,0.00695,-0.3767,0.23786,0.92573,-1.0
PUT,-0.46655,0.00862,-0.28334,0.46829,0.39329,-1.0
PUT,-0.41604,0.00519,-0.39094,0.76585,0.38241,-1.0
PUT,-0.46229,0.00964,-0.10943,0.43158,0.3765,-1.0
PUT,-0.41275,0.00944,-0.34019,0.22644,0.70922,-1.0
PUT,-0.48726,0.00707,-0.73222,0.40819,0.54687,-1.0
PUT,-0.45729,0.00146,-0.11255,2.26034,0.44353,1.6161858974358974
PUT,-0.44547,0.00724,-0.07238,0.55596,0.38617,-1.0
PUT,-0.47678,0.00208,-0.12246,1.87429,0.40386,2.3616671236632847
PUT,-0.40286,0.00647,-0.51393,0.53515,0.43227,1.20708446866485
PUT,-0.49152,0.00757,-0.07055,0.57156,0.36478,-1.0
PUT,-0.44315,0.01275,-0.37338,0.22606,0.54177,1.1931972789115652
PUT,-0.40452,0.00206,-0.16535,1.58741,0.45371,-1.0
PUT,-0.44579,0.00351,-0.33933,0.89513,0.48849,-0.511715976331361
PUT,-0.43015,0.00428,-0.08168,0.80138,0.44843,2.8607977991746907
PUT,-0.41315,0.00879,-0.55912,0.42609,0.40542,-0.9612903225806476
PUT,-0.4516,0.02326,-0.31974,0.17951,0.37456,-1.0
PUT,-0.43402,0.00271,-0.35853,0.99455,0.56665,-0.8314823313446544
PUT,-0.4353,0.00621,-0.28351,0.29336,0.83996,-1.0
PUT,-0.46707,0.00437,-0.07905,0.74551,0.4808,1.8150268336314848
PUT,-0.44786,0.00487,-0.35318,0.58111,0.55408,-1.0
PUT,-0.44131,0.00271,-0.09184,1.17774,0.46806,2.386568986568987
PUT,-0.40428,0.00506,-0.18776,0.56844,0.5249,1.6468659594985535
PUT,-0.47824,0.00441,-0.26759,0.70629,0.50482,-1.0
PUT,-0.42275,0.0051,-0.07285,0.542,0.54565,0.1854785478547851
PUT,-0.43679,0.00171,-0.13413,1.86645,0.46543,2.123132780082987
PUT,-0.46431,0.01179,-0.16306,0.24189,0.5591,2.034686346863469
PUT,-0.45094,0.00649,-0.39765,0.5723,0.42358,-1.0
PUT,-0.45778,0.0017,-0.17995,1.82175,0.50228,-1.0
PUT,-0.40317,0.00157,-0.08687,2.04896,0.45492,1.1361618154908733
PUT,-0.47285,0.00762,-0.65139,0.43943,0.47499,-1.0
PUT,-0.43487,0.00449,-0.08651,0.70054,0.49079,0.8672280701754389
PUT,-0.49663,0.00133,-0.08887,2.75999,0.40845,1.879174041297935
PUT,-0.44344,0.00284,-0.15236,1.39119,0.38858,4.287800369685767
PUT,-0.40585,0.00796,-0.60929,0.17342,1.0864,-1.0
PUT,-0.45839,0.00174,-0.07949,1.95295,0.4432,0.9142351900972592
PUT,-0.49913,0.00629,-0.34905,0.67497,0.37713,-1.0
PUT,-0.48219,0.00316,-0.16929,1.04371,0.46863,-1.0
PUT,-0.33263,0.00858,-0.21708,0.3061,0.50532,0.8210268948655258
PUT,-0.30908,0.0131,-0.21095,0.22345,0.42259,-1.0
PUT,-0.34559,0.0063,-0.62784,0.46349,0.46921,-0.901379310344831
PUT,-0.30045,0.00315,-0.24999,0.83318,0.46513,-1.0
PUT,-0.38268,0.00801,-0.07636,0.30736,0.59729,-0.0213716108452948
PUT,-0.3076,0.01882,-0.14871,0.0964,0.68192,-1.0
PUT,-0.30453,0.00885,-0.39309,0.20801,0.66347,-1.0
PUT,-0.37376,0.01704,-0.22007,0.14998,0.56044,2.865587044534413
PUT,-0.36884,0.00972,-0.09154,0.39584,0.36776,-1.0
PUT,-0.30558,0.00561,-0.04538,0.55421,0.39312,-1.0
PUT,-0.3288,0.00634,-0.13084,0.30916,0.66159,-0.1506003430531735
PUT,-0.38276,0.0112,-0.36968,0.29672,0.43583,-1.0
PUT,-0.34518,0.01875,-0.14191,0.24678,0.29447,-1.0
PUT,-0.32657,0.00539,-0.72444,0.45564,0.52465,0.0898839137645075
PUT,-0.33456,0.00145,-0.05171,1.97282,0.44302,1.5077757685352622
PUT,-0.34342,0.00745,-0.06596,0.44581,0.40516,-1.0
PUT,-0.38366,0.00609,-0.5541,0.45323,0.52538,-1.0
PUT,-0.31024,0.0028,-0.07156,0.98437,0.44715,3.360821484992101
PUT,-0.38671,0.00811,-0.38648,0.52048,0.34836,-1.0
PUT,-0.38029,0.00687,-0.68093,0.39368,0.53566,-1.0
PUT,-0.32768,0.00187,-0.18539,1.82794,0.37541,6.917060367454068
PUT,-0.36975,0.00518,-0.14321,0.46897,0.58627,1.8360360360360364
PUT,-0.31686,0.00158,-0.12512,1.76708,0.46394,3.0991020408163266
PUT,-0.32707,0.00446,-0.47764,0.57744,0.50531,-1.0
PUT,-0.32188,0.00576,-0.51704,0.4258,0.52304,-1.0
PUT,-0.35474,0.00369,-0.42096,0.76928,0.48617,0.8227230046948346
PUT,-0.33316,0.00457,-0.40834,0.5852,0.49288,-1.0
PUT,-0.33995,0.00252,-0.17109,1.04425,0.51699,-1.0
PUT,-0.38772,0.00397,-0.50185,0.67903,0.53971,-0.4164787510841266
PUT,-0.37599,0.0072,-0.19349,0.32541,0.61462,-1.0
PUT,-0.33948,0.00525,-0.33006,0.63956,0.3975,-1.0
PUT,-0.38768,0.00158,-0.08016,1.97379,0.4536,1.005915568701264
PUT,-0.30292,0.00864,-0.4251,0.3989,0.35273,-1.0
PUT,-0.34688,0.003,-0.24737,1.10929,0.40883,10.0
PUT,-0.32995,0.00161,-0.18725,1.67158,0.48579,4.358586688578471
PUT,-0.34181,0.00214,-0.29742,1.59536,0.40044,10.0
PUT,-0.38231,0.00776,-0.25932,0.41244,0.45555,-1.0
PUT,-0.32182,0.00262,-0.146,1.30898,0.37992,7.025758697261287
PUT,-0.33606,0.00927,-0.40835,0.23588,0.60608,-1.0
PUT,-0.39562,0.00213,-0.03421,1.26433,0.4955,0.3093333333333334
PUT,-0.3474,0.00326,-0.29026,0.90961,0.46327,-0.8121768140116765
PUT,-0.39048,0.00551,-0.31336,0.53541,0.49727,-1.0
PUT,-0.35881,0.00252,-0.16186,1.32615,0.42056,-1.0
PUT,-0.33795,0.00659,-0.36547,0.54605,0.36796,-0.9938697318007632
PUT,-0.33951,0.00807,-0.27495,0.31076,0.53632,-1.0
PUT,-0.39829,0.00871,-0.22688,0.33143,0.51376,0.1680580762250457
PUT,-0.34327,0.00447,-0.30036,0.62662,0.48448,-1.0
PUT,-0.35325,0.00311,-0.27699,0.93587,0.47748,-1.0
PUT,-0.37034,0.00843,-0.3965,0.32454,0.52412,-1.0
PUT,-0.30689,0.00469,-0.16164,0.49314,0.53462,-1.0
PUT,-0.32085,0.06914,-0.61738,0.03278,0.57382,6.447963800904981
PUT,-0.35397,0.00403,-0.37554,0.71148,0.47976,-1.0
PUT,-0.36865,0.02034,-0.40851,0.09185,0.76183,-1.0
PUT,-0.34256,0.00273,-0.18969,1.25345,0.39212,8.03057142857143
PUT,-0.32612,0.00154,-0.13696,1.65421,0.49308,-1.0
PUT,-0.38405,0.00645,-0.31107,0.60671,0.37388,-1.0
PUT,-0.35677,0.0042,-0.37826,0.67301,0.4887,-1.0
PUT,-0.368,0.00516,-0.14466,0.57902,0.47592,1.2719626168224305
PUT,-0.39537,0.0077,-0.42795,0.46611,0.41123,-1.0
PUT,-0.34078,0.00192,-0.15881,1.50449,0.45784,-1.0
PUT,-0.37769,0.00215,-0.33496,1.62637,0.41457,9.592075471698111
PUT,-0.31183,0.01376,-0.10114,0.15794,0.57778,-1.0
PUT,-0.36832,0.0064,-0.51298,0.41162,0.53504,-1.0
PUT,-0.34824,0.01716,-0.15579,0.15005,0.53095,-1.0
PUT,-0.38312,0.00295,-0.08959,0.94131,0.5078,-1.0
PUT,-0.31071,0.001,-0.08934,2.79113,0.4374,2.884084084084084
PUT,-0.31285,0.00296,-0.02855,1.24319,0.34174,-1.0
PUT,-0.33846,0.01367,-0.14998,0.15775,0.62346,-1.0
PUT,-0.37162,0.00187,-0.24023,1.87048,0.39909,6.476532769556026
PUT,-0.30011,0.01042,-0.68145,0.30026,0.38758,-1.0
PUT,-0.32216,0.00593,-0.07585,0.54858,0.39381,-1.0
PUT,-0.30801,0.02525,-0.22875,0.06982,0.7019,-1.0
PUT,-0.33959,0.00222,-0.12649,1.23877,0.47675,-1.0
PUT,-0.37688,0.00228,-0.21014,1.33048,0.47534,-0.8862036156041861
PUT,-0.39067,0.00291,-0.05803,1.09587,0.45776,-1.0
PUT,-0.33065,0.00242,-0.21812,1.03066,0.51857,-1.0
PUT,-0.37789,0.00474,-0.03664,0.78202,0.38843,0.9439046746104496
PUT,-0.33398,0.00773,-0.06725,0.45195,0.37947,-1.0
PUT,-0.32767,0.01603,-0.90378,0.21793,0.37492,-1.0
PUT,-0.3754,0.00897,-0.34093,0.28775,0.55695,-1.0
PUT,-0.33036,0.00486,-0.29981,0.68538,0.39861,-1.0
PUT,-0.34696,0.01203,-0.11479,0.30578,0.36985,-1.0
PUT,-0.35833,0.00188,-0.03917,1.63439,0.42289,1.0995744680851065
PUT,-0.37829,0.00202,-0.17389,1.84506,0.38395,4.867066895368782
PUT,-0.3207,0.00342,-0.08915,0.74783,0.49637,2.4373953488372093
PUT,-0.31622,0.00578,-0.50661,0.44678,0.48834,-1.0
PUT,-0.36879,0.01761,-0.22825,0.13752,0.58731,-0.7213675213675221
PUT,-0.39464,0.01024,-0.10094,0.37782,0.38258,-1.0
PUT,-0.31698,0.00525,-0.30022,0.62484,0.38728,-1.0
PUT,-0.35201,0.00387,-0.2412,0.73928,0.48646,-1.0
PUT,-0.39245,0.00604,-0.0588,0.62953,0.38664,-1.0
PUT,-0.319,0.00818,-0.0688,0.39057,0.40152,-1.0
PUT,-0.39207,0.01204,-0.81983,0.2917,0.41971,-1.0
PUT,-0.38632,0.005,-0.32466,0.71975,0.4102,-1.0
PUT,-0.36466,0.00974,-0.12386,0.25676,0.57034,1.988235294117648
PUT,-0.35521,0.00292,-0.31424,1.18675,0.39545,10.0
PUT,-0.32805,0.00152,-0.07907,2.26453,0.37346,4.090662650602409
PUT,-0.31233,0.00374,-0.18336,0.36401,0.92797,-1.0
PUT,-0.34401,0.01749,-0.21606,0.11031,0.70733,-1.0
PUT,-0.32258,0.00351,-0.05727,0.88878,0.41226,3.0193488372093027
PUT,-0.34768,0.0013,-0.0658,2.26907,0.44858,1.7899648770697438
PUT,-0.39348,0.00922,-0.4878,0.43984,0.36594,-1.0
PUT,-0.3004,0.01548,-0.16069,0.11726,0.66719,-1.0
PUT,-0.30511,0.00486,-0.35486,0.59638,0.42302,-1.0
PUT,-0.30317,0.00588,-0.23079,0.3851,0.5418,-1.0
PUT,-0.39528,0.00192,-0.06216,1.74075,0.42875,0.6063492063492063
PUT,-0.38951,0.00307,-0.14305,1.01621,0.46364,-1.0
PUT,-0.31628,0.00332,-0.22367,0.91708,0.42222,-1.0
PUT,-0.34897,0.00834,-2.39423,0.21123,0.78044,-0.8694063926940685
PUT,-0.3164,0.00204,-0.08527,1.31368,0.47435,-1.0
PUT,-0.30179,0.00141,-0.10073,1.96963,0.43526,2.634175691937425
PUT,-0.35062,0.00629,-0.30914,0.59612,0.36944,-1.0
PUT,-0.32165,0.00366,-0.27369,0.77003,0.4508,-1.0
PUT,-0.39236,0.00457,-0.04412,0.81863,0.38628,1.6926660914581535
PUT,-0.39225,0.00638,-0.17648,0.47679,0.48466,1.59946949602122
PUT,-0.34993,0.00183,-0.11373,1.52107,0.47855,-1.0
PUT,-0.31821,0.02522,-0.26328,0.10525,0.47925,-1.0
PUT,-0.3347,0.00543,-0.49667,0.50095,0.48478,-1.0
PUT,-0.34864,0.00892,-0.35968,0.25038,0.6097,-1.0
PUT,-0.34093,0.00994,-0.36486,0.23021,0.58618,-1.0
PUT,-0.32202,0.01113,-0.15191,0.21471,0.53856,1.332885906040268
PUT,-0.30737,0.00277,-0.08437,0.83767,0.52494,-1.0
PUT,-0.31662,0.00421,-0.34964,0.64976,0.46821,-1.0
PUT,-0.31499,0.0018,-0.18054,1.77312,0.4017,5.967441860465117
PUT,-0.34123,0.00452,-0.32121,0.74355,0.40194,-1.0
PUT,-0.33847,0.01343,-0.13648,0.18129,0.55278,-1.0
PUT,-0.35442,0.00712,-0.06562,0.53869,0.36216,-1.0
PUT,-0.31927,0.00594,-0.28612,0.32802,0.65264,-1.0
PUT,-0.35841,0.00154,-0.05144,1.99253,0.4282,1.536591041303083
PUT,-0.39931,0.00703,-0.29002,0.31265,0.67304,-1.0
PUT,-0.35382,0.01509,-0.12085,0.1549,0.59565,-1.0
PUT,-0.30351,0.00198,-0.29065,1.52821,0.40653,10.0
PUT,-0.34386,0.00269,-0.18619,1.31984,0.37758,8.466760563380282
PUT,-0.36612,0.0021,-0.2023,1.74905,0.37704,5.467417932386086
PUT,-0.32408,0.00244,-0.19113,1.15839,0.46251,-1.0
PUT,-0.39698,0.00693,-0.31072,0.31591,0.67633,-1.0
PUT,-0.34702,0.00614,-0.31757,0.2777,0.80357,-1.0
PUT,-0.35247,0.00127,-0.08292,2.61135,0.42307,2.592191312835529
PUT,-0.38249,0.01153,-0.25825,0.18019,0.69555,-0.4632653061224499
PUT,-0.31194,0.0019,-0.14621,1.50631,0.43959,4.803053435114504
PUT,-0.38853,0.03642,-1.38596,0.06442,0.62305,1.081632653061226
PUT,-0.34385,0.00823,-0.78171,0.32843,0.49975,-1.0
PUT,-0.35644,0.00413,-0.19637,0.6569,0.50582,-1.0
PUT,-0.39585,0.00702,-0.24841,0.41459,0.51038,0.9133235724743788
PUT,-0.38781,0.00348,-0.24051,0.99704,0.41694,-1.0
PUT,-0.33731,0.00675,-0.23173,0.39043,0.50485,-1.0
PUT,-0.32769,0.00481,-0.38144,0.6895,0.39222,-1.0
PUT,-0.36983,0.00277,-0.11974,1.06259,0.48023,-1.0
PUT,-0.35736,0.00405,-0.46319,0.71402,0.48595,1.2753299492385777
PUT,-0.33013,0.00285,-0.09314,0.83993,0.53718,-1.0
PUT,-0.33117,0.01963,-0.19118,0.15567,0.43152,-1.0
PUT,-0.32696,0.00145,-0.0776,1.83963,0.46681,0.9931972789115646
PUT,-0.36126,0.00407,-0.07236,0.70156,0.48673,2.0830122591943963
PUT,-0.37569,0.00278,-0.15635,1.06399,0.47826,-1.0
PUT,-0.33071,0.00233,-0.27733,1.04886,0.52654,-1.0
PUT,-0.31814,0.00273,-0.05119,0.96279,0.47825,-1.0
PUT,-0.38447,0.00264,-0.04045,1.44177,0.37413,-0.3164794007490636
PUT,-0.31179,0.00158,-0.06653,1.68803,0.45841,0.6958598726114651
PUT,-0.32049,0.00331,-0.43441,0.70008,0.55259,-1.0
PUT,-0.33397,0.00173,-0.13912,1.90535,0.39259,4.906829488919041
PUT,-0.37624,0.01371,-0.33637,0.16935,0.60535,0.6733118971061081
PUT,-0.30676,0.00352,-0.24243,0.78171,0.44887,-1.0
PUT,-0.3951,0.00745,-0.46255,0.59745,0.3318,1.143894389438945
PUT,-0.39505,0.01072,-0.74011,0.3537,0.39015,0.0925659472422048
PUT,-0.33636,0.00108,-0.0856,2.6718,0.44316,2.431421911421911
PUT,-0.36588,0.00647,-0.05077,0.55917,0.38625,-1.0
PUT,-0.38447,0.00393,-0.0952,0.74431,0.49699,-1.0
PUT,-0.37043,0.0071,-0.18667,0.40876,0.49216,5.784843492586491
PUT,-0.36337,0.00242,-0.12391,1.22744,0.47201,-1.0
PUT,-0.38498,0.00631,-0.38892,0.44223,0.51929,-1.0
PUT,-0.32503,0.01865,-0.21882,0.13483,0.51739,-1.0
PUT,-0.37687,0.0051,-0.18073,0.52041,0.5389,1.240802675585284
PUT,-0.36465,0.00105,-0.11223,2.79436,0.46302,2.5479706988715107
PUT,-0.38322,0.00204,-0.28177,1.66851,0.41735,5.890459363957596
PUT,-0.34802,0.00915,-0.65588,0.4069,0.36725,-1.0
PUT,-0.30195,0.00432,-0.47439,0.53245,0.52733,-1.0
