option_type,DTE_bin,log_m_bin,n,mean_return,std_return,downside_std,sharpe,sortino
PUT,31-60,0.3 – 0.6,21707,-0.06439068720704616,0.4982957364548989,0.2590221724776424,-0.12922183052407918,-0.24859141050021138
PUT,31-60,> 0.6,5820,0.48372621217494494,2.013690041833109,0.13290266487430255,0.2402188033539649,3.6397028805437897
PUT,61-120,≤-0.6,13512,0.016020605859148364,3.179799356164046,0.0,0.005038244261573422,
PUT,61-120,-0.6 – -0.3,16009,0.2551813673538377,3.4455331641840754,0.044965079398691966,0.07406150374822071,5.675101006521539
PUT,61-120,-0.3 – -0.1,13190,0.797803430046328,3.712521538225059,0.11127767717060677,0.21489530008969443,7.169483137423561
PUT,61-120,-0.1 – 0.1,14760,0.5169544247735799,2.80522813400329,0.23725176558248187,0.18428248972244682,2.1789276193768004
PUT,61-120,0.1 – 0.3,16989,0.0066878876284362735,1.2107031783324498,0.3225656118200473,0.005523969663355283,0.020733417895046135
PUT,61-120,0.3 – 0.6,15701,-0.023284270943874887,0.614425254974818,0.32008985655824834,-0.03789601868632367,-0.07274292036066983
PUT,61-120,> 0.6,5419,0.20363474275889967,0.9168209768701717,0.17233092931838812,0.22210960252465492,1.1816494204744672
PUT,121-365,≤-0.6,33289,0.10129856904673128,3.1425948294214976,0.04777810625757707,0.032234053241085095,2.120188031325885
PUT,121-365,-0.6 – -0.3,20967,1.9615994937966867,4.391996632763241,0.0828975990013989,0.4466304639588349,23.662922900379595
PUT,121-365,-0.3 – -0.1,18679,1.970401310844493,3.8852601903588497,0.10253402602186625,0.507147839347795,19.21704810873503
PUT,121-365,-0.1 – 0.1,22045,0.9137757505410065,2.341375423955366,0.14574716851060285,0.39027305966906134,6.269595216695622
PUT,121-365,0.1 – 0.3,21700,0.40767996368485526,1.3146208241218504,0.2906298908430362,0.31011220589570393,1.4027461611133303
PUT,121-365,0.3 – 0.6,21326,0.3312792144167387,0.8145332419440924,0.34435287272211684,0.4067104905701036,0.9620341244664794
PUT,121-365,> 0.6,7988,0.5155631383548127,1.3132524828720886,0.4681779451343321,0.39258493326985683,1.1012119295941731
PUT,>365,≤-0.6,19401,1.933400645176992,4.384581833424436,0.10832094267387297,0.44095439853313717,17.84881665033117
PUT,>365,-0.6 – -0.3,8342,2.4568733186653287,3.5691896755802524,0.18934481588045873,0.6883560533290819,12.975656646530291
PUT,>365,-0.3 – -0.1,6288,1.7421353481244595,2.2385326924518534,0.1816332592522018,0.7782487850183272,9.591499680713575
PUT,>365,-0.1 – 0.1,6038,1.1075306564727754,1.4714149980674447,0.25701480482562844,0.7526976807545154,4.309209569558372
PUT,>365,0.1 – 0.3,6207,0.7676532069020537,1.0304817281375205,0.35746582210520145,0.7449459664748257,2.1474870027606023
PUT,>365,0.3 – 0.6,5688,0.5322353197564849,0.8104156935166089,0.3218623395089953,0.6567435996296844,1.6536116669269725
PUT,>365,> 0.6,410,0.666660674076209,2.311575432109915,0.4244408148863298,0.2884010034090505,1.570679940982463
