option_type,near_earn,DTE_bin,log_m_bin,n,mean_return
CALL,True,8-14,≤-0.6,217,0.07284376948872696
CALL,True,>365,-0.1 – 0.1,240,0.507112310698233
CALL,True,>365,-0.3 – -0.1,258,0.05265666240217202
CALL,True,>365,-0.6 – -0.3,343,-0.18888989430589193
CALL,True,>365,0.1 – 0.3,246,0.5471379856773533
CALL,True,>365,0.3 – 0.6,152,0.10088174577316429
CALL,True,>365,≤-0.6,823,-0.4526419551184751
PUT,False,0-7,-0.1 – 0.1,10593,-0.18991945121927775
PUT,False,0-7,-0.3 – -0.1,8011,-0.9316522999322695
PUT,False,0-7,-0.6 – -0.3,6212,-0.9575016097875081
PUT,False,0-7,0.1 – 0.3,7191,0.006056207138656921
PUT,False,0-7,0.3 – 0.6,4873,0.002191012110154753
PUT,False,0-7,> 0.6,1377,0.46605167388851954
PUT,False,0-7,≤-0.6,3945,-0.997211660329531
PUT,False,121-365,-0.1 – 0.1,10174,0.9255896991650352
PUT,False,121-365,-0.3 – -0.1,8620,1.9930523755070495
PUT,False,121-365,-0.6 – -0.3,9663,2.016620494978294
PUT,False,121-365,0.1 – 0.3,10056,0.42223708039683483
PUT,False,121-365,0.3 – 0.6,9895,0.32905739060973627
PUT,False,121-365,> 0.6,3705,0.5319920649969636
PUT,False,121-365,≤-0.6,16830,0.01897324353881915
PUT,False,15-30,-0.1 – 0.1,17766,0.14017328000757956
PUT,False,15-30,-0.3 – -0.1,11963,-0.13564139833446912
PUT,False,15-30,-0.6 – -0.3,10210,-0.632635949287763
PUT,False,15-30,0.1 – 0.3,12253,-0.06464408180174232
PUT,False,15-30,0.3 – 0.6,9514,-0.0421764574656955
PUT,False,15-30,> 0.6,2407,0.3751373818003978
PUT,False,15-30,≤-0.6,6143,-0.8692821097183786
PUT,False,31-60,-0.1 – 0.1,16491,0.30473553262081127
PUT,False,31-60,-0.3 – -0.1,10949,0.11649895483705901
PUT,False,31-60,-0.6 – -0.3,10148,-0.38075455159424454
PUT,False,31-60,0.1 – 0.3,12735,-0.0524503093967181
PUT,False,31-60,0.3 – 0.6,9958,-0.07050768953934598
PUT,False,31-60,> 0.6,2744,0.5058816461903173
PUT,False,31-60,≤-0.6,7022,-0.6459698091711763
PUT,False,61-120,-0.1 – 0.1,6802,0.45400148178607297
PUT,False,61-120,-0.3 – -0.1,6036,0.6899215519287469
PUT,False,61-120,-0.6 – -0.3,7472,0.2389887467850117
PUT,False,61-120,0.1 – 0.3,8004,-0.001954748217951378
PUT,False,61-120,0.3 – 0.6,7401,-0.02492101089770814
PUT,False,61-120,> 0.6,2499,0.21404402711713424
PUT,False,61-120,≤-0.6,8151,-0.18389883807520196
PUT,False,8-14,-0.1 – 0.1,8636,-0.0010653193649345536
PUT,False,8-14,-0.3 – -0.1,6117,-0.6053613311363301
PUT,False,8-14,-0.6 – -0.3,4786,-0.8207271207689093
PUT,False,8-14,0.1 – 0.3,5684,-0.024318719718827705
PUT,False,8-14,0.3 – 0.6,4067,-0.0076512135857570475
PUT,False,8-14,> 0.6,1187,0.46917590119103236
PUT,False,8-14,≤-0.6,3097,-0.9183080400387472
PUT,False,>365,-0.1 – 0.1,2784,1.1065570810140313
PUT,False,>365,-0.3 – -0.1,2885,1.7437219378420952
PUT,False,>365,-0.6 – -0.3,3820,2.4714494809086642
PUT,False,>365,0.1 – 0.3,2875,0.7668242065308849
PUT,False,>365,0.3 – 0.6,2663,0.5221243539187856
PUT,False,>365,> 0.6,188,0.8607547963299012
PUT,False,>365,≤-0.6,8882,1.96765605158833
PUT,True,0-7,-0.1 – 0.1,871,-0.39444761541953816
PUT,True,0-7,-0.3 – -0.1,802,-0.932438628984999
PUT,True,0-7,-0.6 – -0.3,637,-1.0
PUT,True,0-7,0.1 – 0.3,661,-0.05487739975402221
PUT,True,0-7,0.3 – 0.6,467,-0.011252953892996588
PUT,True,0-7,> 0.6,157,-0.003913478565008317
PUT,True,0-7,≤-0.6,426,-1.0
PUT,True,121-365,-0.1 – 0.1,849,0.787954940480165
PUT,True,121-365,-0.3 – -0.1,703,1.5267321041696456
PUT,True,121-365,-0.6 – -0.3,842,1.4337455386572806
PUT,True,121-365,0.1 – 0.3,773,0.2579666833236787
PUT,True,121-365,0.3 – 0.6,764,0.3667424988908393
PUT,True,121-365,> 0.6,286,0.3963623679029389
PUT,True,121-365,≤-0.6,1450,-0.11351894366588884
PUT,True,15-30,-0.1 – 0.1,1464,-0.2391982876331652
PUT,True,15-30,-0.3 – -0.1,1157,-0.781954345906235
PUT,True,15-30,-0.6 – -0.3,993,-0.9889224572004028
PUT,True,15-30,0.1 – 0.3,1043,-0.020213577719466726
PUT,True,15-30,0.3 – 0.6,842,0.028204829867239278
PUT,True,15-30,> 0.6,127,0.12286200360198138
PUT,True,15-30,≤-0.6,845,-1.0
PUT,True,31-60,-0.1 – 0.1,1441,-0.3961531136384789
PUT,True,31-60,-0.3 – -0.1,1153,-0.5834673313667185
PUT,True,31-60,-0.6 – -0.3,983,-0.9758855528442498
PUT,True,31-60,0.1 – 0.3,1183,-0.12537236026740903
PUT,True,31-60,0.3 – 0.6,916,0.0023213102765252316
PUT,True,31-60,> 0.6,171,0.11179747882725374
PUT,True,31-60,≤-0.6,699,-1.0
PUT,True,61-120,-0.1 – 0.1,567,1.2755599326591933
PUT,True,61-120,-0.3 – -0.1,551,1.991935880137734
PUT,True,61-120,-0.6 – -0.3,546,0.49945695754876557
PUT,True,61-120,0.1 – 0.3,500,0.14194761865414293
PUT,True,61-120,0.3 – 0.6,441,0.023377782058430698
PUT,True,61-120,> 0.6,209,0.10081591275523313
PUT,True,61-120,≤-0.6,644,-0.237131564088086
PUT,True,8-14,-0.1 – 0.1,644,-0.0871355338267808
PUT,True,8-14,-0.3 – -0.1,541,-0.3401737247492528
PUT,True,8-14,-0.6 – -0.3,443,-1.0
PUT,True,8-14,0.1 – 0.3,436,-0.0523642549224533
PUT,True,8-14,0.3 – 0.6,306,-0.023769426008905893
PUT,True,8-14,> 0.6,41,-0.07859378536255128
PUT,True,8-14,≤-0.6,217,-1.0
PUT,True,>365,-0.1 – 0.1,239,1.155398572029348
PUT,True,>365,-0.3 – -0.1,257,1.679407685075149
PUT,True,>365,-0.6 – -0.3,342,2.2409706273020142
PUT,True,>365,0.1 – 0.3,244,0.8048939224720938
PUT,True,>365,0.3 – 0.6,174,0.7257809165415642
PUT,True,>365,> 0.6,18,0.3409319452545363
PUT,True,>365,≤-0.6,830,1.5721723339653406
