option_type,quarter,DTE_bin,log_m_bin,n,mean_return
CALL,2022-Q1,31-60,-0.3 – -0.1,1880,-0.24308318589340402
CALL,2022-Q1,31-60,-0.6 – -0.3,1361,-0.23856156535232273
CALL,2022-Q1,31-60,0.1 – 0.3,2145,-0.9795314297675745
CALL,2022-Q1,31-60,0.3 – 0.6,2988,-1.0
CALL,2022-Q1,31-60,> 0.6,731,-1.0
CALL,2022-Q1,31-60,≤-0.6,756,-0.13767772679453308
CALL,2022-Q1,61-120,-0.1 – 0.1,944,-0.9920986071187977
CALL,2022-Q1,61-120,-0.3 – -0.1,894,-0.783773983828401
CALL,2022-Q1,61-120,-0.6 – -0.3,1086,-0.5889691913263023
CALL,2022-Q1,61-120,0.1 – 0.3,1154,-1.0
CALL,2022-Q1,61-120,0.3 – 0.6,1966,-1.0
CALL,2022-Q1,61-120,> 0.6,422,-1.0
CALL,2022-Q1,61-120,≤-0.6,677,-0.3927798530054333
CALL,2022-Q1,8-14,-0.1 – 0.1,1387,-0.03660881280797938
CALL,2022-Q1,8-14,-0.3 – -0.1,931,-0.1348380017639572
CALL,2022-Q1,8-14,-0.6 – -0.3,583,-0.026904646933400424
CALL,2022-Q1,8-14,0.1 – 0.3,1044,-0.3435935898197079
CALL,2022-Q1,8-14,0.3 – 0.6,1210,-1.0
CALL,2022-Q1,8-14,> 0.6,296,-1.0
CALL,2022-Q1,8-14,≤-0.6,503,-0.12664698661786
CALL,2022-Q2,0-7,-0.1 – 0.1,1013,-0.6205348906971406
CALL,2022-Q2,0-7,-0.3 – -0.1,1008,-0.12774723480440536
CALL,2022-Q2,0-7,-0.6 – -0.3,771,-0.07642869544313093
CALL,2022-Q2,0-7,0.1 – 0.3,1084,-0.9908706956340579
CALL,2022-Q2,0-7,0.3 – 0.6,1165,-1.0
CALL,2022-Q2,0-7,> 0.6,916,-1.0
CALL,2022-Q2,0-7,≤-0.6,98,-0.10760164783626879
CALL,2022-Q2,121-365,-0.1 – 0.1,1326,-0.9966294031850492
CALL,2022-Q2,121-365,-0.3 – -0.1,1073,-0.9363753219673654
CALL,2022-Q2,121-365,-0.6 – -0.3,1345,-0.7566378709045819
CALL,2022-Q2,121-365,0.1 – 0.3,1599,-1.0
CALL,2022-Q2,121-365,0.3 – 0.6,2805,-1.0
CALL,2022-Q2,121-365,> 0.6,3098,-1.0
CALL,2022-Q2,121-365,≤-0.6,1853,-0.5428126429288109
CALL,2022-Q2,15-30,-0.1 – 0.1,1298,-0.8047182230769507
CALL,2022-Q2,15-30,-0.3 – -0.1,823,-0.49843728573424334
CALL,2022-Q2,15-30,-0.6 – -0.3,702,-0.30838369041190095
CALL,2022-Q2,15-30,0.1 – 0.3,1285,-0.9872772838483541
CALL,2022-Q2,15-30,0.3 – 0.6,1896,-1.0
CALL,2022-Q2,15-30,> 0.6,1532,-1.0
CALL,2022-Q2,15-30,≤-0.6,165,-0.18592971128714447
CALL,2022-Q2,31-60,-0.1 – 0.1,1098,-0.7195289455998874
CALL,2022-Q2,31-60,-0.3 – -0.1,849,-0.5287768898409215
CALL,2022-Q2,31-60,-0.6 – -0.3,764,-0.326109696244616
CALL,2022-Q2,31-60,0.1 – 0.3,1223,-0.9599923135776945
CALL,2022-Q2,31-60,0.3 – 0.6,1876,-1.0
CALL,2022-Q2,31-60,> 0.6,1434,-1.0
CALL,2022-Q2,31-60,≤-0.6,350,-0.23306596062655302
CALL,2022-Q2,61-120,-0.1 – 0.1,775,-0.9143552635635178
CALL,2022-Q2,61-120,-0.3 – -0.1,646,-0.7019828006902871
CALL,2022-Q2,61-120,-0.6 – -0.3,893,-0.4903090378039549
CALL,2022-Q2,61-120,0.1 – 0.3,934,-0.9991305704367803
CALL,2022-Q2,61-120,0.3 – 0.6,1837,-1.0
CALL,2022-Q2,61-120,> 0.6,2423,-1.0
CALL,2022-Q2,61-120,≤-0.6,1257,-0.3472009590055412
CALL,2022-Q2,8-14,-0.1 – 0.1,775,-0.6955752065822042
CALL,2022-Q2,8-14,-0.3 – -0.1,649,-0.3382293937085561
CALL,2022-Q2,8-14,-0.6 – -0.3,472,-0.18686328594370305
CALL,2022-Q2,8-14,0.1 – 0.3,754,-0.9929942509156209
CALL,2022-Q2,8-14,0.3 – 0.6,850,-1.0
CALL,2022-Q2,8-14,> 0.6,652,-1.0
CALL,2022-Q2,8-14,≤-0.6,67,-0.22920568688045836
CALL,2022-Q3,0-7,-0.1 – 0.1,1508,-0.2933345493482725
CALL,2022-Q3,0-7,-0.3 – -0.1,1434,-0.023321402261401607
CALL,2022-Q3,0-7,-0.6 – -0.3,814,0.004345624830142193
CALL,2022-Q3,0-7,0.1 – 0.3,1091,-1.0
CALL,2022-Q3,0-7,0.3 – 0.6,1089,-1.0
CALL,2022-Q3,0-7,> 0.6,913,-1.0
CALL,2022-Q3,0-7,≤-0.6,398,-0.026395066554073844
CALL,2022-Q3,121-365,-0.1 – 0.1,82,-0.8679073101045836
CALL,2022-Q3,121-365,-0.3 – -0.1,67,-0.34995107759340977
CALL,2022-Q3,121-365,-0.6 – -0.3,80,-0.11645973193021093
CALL,2022-Q3,121-365,0.1 – 0.3,97,-1.0
CALL,2022-Q3,121-365,0.3 – 0.6,192,-1.0
CALL,2022-Q3,121-365,> 0.6,411,-1.0
CALL,2022-Q3,121-365,≤-0.6,24,-0.12481326598122228
CALL,2022-Q3,15-30,-0.1 – 0.1,1686,-0.3579258939579254
CALL,2022-Q3,15-30,-0.3 – -0.1,977,-0.27288299143074085
CALL,2022-Q3,15-30,-0.6 – -0.3,1015,-0.21569804785336055
CALL,2022-Q3,15-30,0.1 – 0.3,1361,-0.6925009115195073
CALL,2022-Q3,15-30,0.3 – 0.6,1883,-1.0
CALL,2022-Q3,15-30,> 0.6,1523,-1.0
CALL,2022-Q3,15-30,≤-0.6,811,-0.24517596429489658
CALL,2022-Q3,31-60,-0.1 – 0.1,1165,-0.41739845867696773
CALL,2022-Q3,31-60,-0.3 – -0.1,925,-0.4212310797117261
CALL,2022-Q3,31-60,-0.6 – -0.3,1159,-0.3553244558121841
CALL,2022-Q3,31-60,0.1 – 0.3,1343,-0.7387971171937899
CALL,2022-Q3,31-60,0.3 – 0.6,2011,-1.0
CALL,2022-Q3,31-60,> 0.6,2392,-1.0
CALL,2022-Q3,31-60,≤-0.6,1242,-0.30745159926705784
CALL,2022-Q3,61-120,-0.1 – 0.1,583,-0.8586126843526053
CALL,2022-Q3,61-120,-0.3 – -0.1,501,-0.7241287580398459
CALL,2022-Q3,61-120,-0.6 – -0.3,622,-0.4702755373588338
CALL,2022-Q3,61-120,0.1 – 0.3,705,-0.9929586215856057
CALL,2022-Q3,61-120,0.3 – 0.6,1376,-1.0
CALL,2022-Q3,61-120,> 0.6,2382,-1.0
CALL,2022-Q3,61-120,≤-0.6,642,-0.28538804154158737
CALL,2022-Q3,8-14,-0.1 – 0.1,1173,-0.3982528738960063
CALL,2022-Q3,8-14,-0.3 – -0.1,1006,-0.10535414217670487
CALL,2022-Q3,8-14,-0.6 – -0.3,578,-0.05308489642377897
CALL,2022-Q3,8-14,0.1 – 0.3,845,-0.939038857676692
CALL,2022-Q3,8-14,0.3 – 0.6,803,-1.0
CALL,2022-Q3,8-14,> 0.6,775,-1.0
CALL,2022-Q3,8-14,≤-0.6,349,-0.04799793765503369
CALL,2022-Q4,0-7,-0.1 – 0.1,1424,0.22644521213737917
CALL,2022-Q4,0-7,-0.3 – -0.1,1500,0.08042583068209566
CALL,2022-Q4,0-7,-0.6 – -0.3,854,0.04666017899831938
CALL,2022-Q4,0-7,0.1 – 0.3,942,-0.8838827789445209
CALL,2022-Q4,0-7,0.3 – 0.6,747,-1.0
CALL,2022-Q4,0-7,> 0.6,609,-1.0
CALL,2022-Q4,0-7,≤-0.6,272,0.009817855473949555
CALL,2022-Q4,15-30,-0.1 – 0.1,1909,1.4689065197246651
CALL,2022-Q4,15-30,-0.3 – -0.1,1823,0.3056935221396355
CALL,2022-Q4,15-30,-0.6 – -0.3,778,0.2104135397245557
CALL,2022-Q4,15-30,0.1 – 0.3,1080,1.1338705462445322
CALL,2022-Q4,15-30,0.3 – 0.6,1052,-0.9689684778609101
CALL,2022-Q4,15-30,> 0.6,955,-1.0
CALL,2022-Q4,15-30,≤-0.6,408,0.09576341827614702
CALL,2022-Q4,31-60,-0.1 – 0.1,1337,1.774506638890773
CALL,2022-Q4,31-60,-0.3 – -0.1,1004,0.44138879025539396
CALL,2022-Q4,31-60,-0.6 – -0.3,425,0.4443923840669106
CALL,2022-Q4,31-60,0.1 – 0.3,707,2.6110314395892953
CALL,2022-Q4,31-60,0.3 – 0.6,789,-0.8816962405696679
CALL,2022-Q4,31-60,> 0.6,713,-1.0
CALL,2022-Q4,31-60,≤-0.6,267,0.20869302668545614
CALL,2022-Q4,8-14,-0.1 – 0.1,1017,0.8619411067415474
CALL,2022-Q4,8-14,-0.3 – -0.1,1036,0.1719880437361445
CALL,2022-Q4,8-14,-0.6 – -0.3,514,0.07671094220744508
CALL,2022-Q4,8-14,0.1 – 0.3,629,-0.20155272755900938
CALL,2022-Q4,8-14,0.3 – 0.6,516,-1.0
CALL,2022-Q4,8-14,> 0.6,510,-1.0
CALL,2022-Q4,8-14,≤-0.6,209,0.017223337090851908
PUT,2020-Q1,0-7,-0.1 – 0.1,1400,-0.2893433338019938
PUT,2020-Q1,0-7,-0.3 – -0.1,1042,-0.9965521091505738
PUT,2020-Q1,0-7,-0.6 – -0.3,547,-1.0
PUT,2020-Q1,0-7,0.1 – 0.3,987,0.0030382116216207205
PUT,2020-Q1,0-7,0.3 – 0.6,526,-0.04163010971096665
PUT,2020-Q1,0-7,> 0.6,58,-0.05790153485785738
PUT,2020-Q1,0-7,≤-0.6,261,-1.0
PUT,2020-Q1,121-365,-0.1 – 0.1,1699,-1.0
PUT,2020-Q1,121-365,-0.3 – -0.1,1328,-1.0
PUT,2020-Q1,121-365,-0.6 – -0.3,1627,-1.0
PUT,2020-Q1,121-365,0.1 – 0.3,1796,-0.9991017133508561
PUT,2020-Q1,121-365,0.3 – 0.6,1575,-0.9990179887447346
PUT,2020-Q1,121-365,> 0.6,268,-1.0
PUT,2020-Q1,121-365,≤-0.6,1591,-1.0
PUT,2020-Q1,15-30,-0.1 – 0.1,2732,-0.005044249761396345
PUT,2020-Q1,15-30,-0.3 – -0.1,1764,-0.18248059692636628
PUT,2020-Q1,15-30,-0.6 – -0.3,1105,-0.8821932392866648
PUT,2020-Q1,15-30,0.1 – 0.3,1910,-0.10660714437702266
PUT,2020-Q1,15-30,0.3 – 0.6,1004,-0.17740801246645846
PUT,2020-Q1,15-30,> 0.6,68,-0.3229738685089681
PUT,2020-Q1,15-30,≤-0.6,428,-1.0
PUT,2020-Q1,31-60,-0.1 – 0.1,2767,-0.23147604961240117
PUT,2020-Q1,31-60,-0.3 – -0.1,1643,-0.3831658550875711
PUT,2020-Q1,31-60,-0.6 – -0.3,1184,-0.9721283783783784
PUT,2020-Q1,31-60,0.1 – 0.3,2111,-0.29326162408212636
PUT,2020-Q1,31-60,0.3 – 0.6,1066,-0.441061089193231
PUT,2020-Q1,31-60,> 0.6,102,-0.6042723679414795
PUT,2020-Q1,31-60,≤-0.6,559,-1.0
PUT,2020-Q1,61-120,-0.1 – 0.1,1011,-0.6906077663593652
PUT,2020-Q1,61-120,-0.3 – -0.1,830,-0.9136193096951417
PUT,2020-Q1,61-120,-0.6 – -0.3,897,-1.0
PUT,2020-Q1,61-120,0.1 – 0.3,1099,-0.7138483506930685
PUT,2020-Q1,61-120,0.3 – 0.6,666,-0.7447611161558174
PUT,2020-Q1,61-120,> 0.6,54,-0.7755422655046365
PUT,2020-Q1,61-120,≤-0.6,604,-1.0
PUT,2020-Q1,8-14,-0.1 – 0.1,1172,0.04608460566273438
PUT,2020-Q1,8-14,-0.3 – -0.1,800,-0.7421719957464594
PUT,2020-Q1,8-14,-0.6 – -0.3,510,-1.0
PUT,2020-Q1,8-14,0.1 – 0.3,855,-0.02339237189991801
PUT,2020-Q1,8-14,0.3 – 0.6,473,-0.1067757222810934
PUT,2020-Q1,8-14,> 0.6,46,-0.20163333866475258
PUT,2020-Q1,8-14,≤-0.6,242,-1.0
PUT,2020-Q1,>365,-0.1 – 0.1,1215,-0.6951759907091584
PUT,2020-Q1,>365,-0.3 – -0.1,1174,-0.8135053186271065
PUT,2020-Q1,>365,-0.6 – -0.3,1522,-0.8368481421355803
PUT,2020-Q1,>365,0.1 – 0.3,1246,-0.5048372030950893
PUT,2020-Q1,>365,0.3 – 0.6,1171,-0.4012708625112841
PUT,2020-Q1,>365,> 0.6,194,-0.44904039570213355
PUT,2020-Q1,>365,≤-0.6,1748,-0.988223331477884
PUT,2020-Q2,0-7,-0.1 – 0.1,1700,-0.5723178147568966
PUT,2020-Q2,0-7,-0.3 – -0.1,1456,-1.0
PUT,2020-Q2,0-7,-0.6 – -0.3,1021,-1.0
PUT,2020-Q2,0-7,0.1 – 0.3,1262,-0.07521887058019933
PUT,2020-Q2,0-7,0.3 – 0.6,423,-0.03916074325473364
PUT,2020-Q2,0-7,≤-0.6,891,-1.0
PUT,2020-Q2,121-365,-0.1 – 0.1,1799,-1.0
PUT,2020-Q2,121-365,-0.3 – -0.1,1666,-1.0
PUT,2020-Q2,121-365,-0.6 – -0.3,1954,-1.0
PUT,2020-Q2,121-365,0.1 – 0.3,1666,-1.0
PUT,2020-Q2,121-365,0.3 – 0.6,1144,-0.9929743655627532
PUT,2020-Q2,121-365,> 0.6,21,-1.0
PUT,2020-Q2,121-365,≤-0.6,2979,-1.0
PUT,2020-Q2,15-30,-0.1 – 0.1,3332,-0.960063839819585
PUT,2020-Q2,15-30,-0.3 – -0.1,2350,-1.0
PUT,2020-Q2,15-30,-0.6 – -0.3,1861,-1.0
PUT,2020-Q2,15-30,0.1 – 0.3,2439,-0.5027580290198391
PUT,2020-Q2,15-30,0.3 – 0.6,1218,-0.27963431933944033
PUT,2020-Q2,15-30,≤-0.6,1394,-1.0
PUT,2020-Q2,31-60,-0.1 – 0.1,3201,-0.9951878610492764
PUT,2020-Q2,31-60,-0.3 – -0.1,1930,-1.0
PUT,2020-Q2,31-60,-0.6 – -0.3,1863,-1.0
PUT,2020-Q2,31-60,0.1 – 0.3,2545,-0.7683687081580738
PUT,2020-Q2,31-60,0.3 – 0.6,1237,-0.4951859157695255
PUT,2020-Q2,31-60,≤-0.6,1239,-1.0
PUT,2020-Q2,61-120,-0.1 – 0.1,1055,-1.0
PUT,2020-Q2,61-120,-0.3 – -0.1,953,-1.0
PUT,2020-Q2,61-120,-0.6 – -0.3,1076,-1.0
PUT,2020-Q2,61-120,0.1 – 0.3,1142,-0.9935397380647687
PUT,2020-Q2,61-120,0.3 – 0.6,760,-0.8616551483689255
PUT,2020-Q2,61-120,≤-0.6,1067,-1.0
PUT,2020-Q2,8-14,-0.1 – 0.1,1363,-0.8536558063112542
PUT,2020-Q2,8-14,-0.3 – -0.1,1091,-1.0
PUT,2020-Q2,8-14,-0.6 – -0.3,777,-1.0
PUT,2020-Q2,8-14,0.1 – 0.3,968,-0.27813720846495443
PUT,2020-Q2,8-14,0.3 – 0.6,386,-0.1602137959345041
PUT,2020-Q2,8-14,≤-0.6,654,-1.0
PUT,2020-Q2,>365,-0.1 – 0.1,1297,0.08844822564438129
PUT,2020-Q2,>365,-0.3 – -0.1,1260,-0.12685401555801476
PUT,2020-Q2,>365,-0.6 – -0.3,1836,-0.32028945962585437
PUT,2020-Q2,>365,0.1 – 0.3,1449,0.1733435440146898
PUT,2020-Q2,>365,0.3 – 0.6,1043,-0.023169111024817307
PUT,2020-Q2,>365,> 0.6,14,-0.48618964897335937
PUT,2020-Q2,>365,≤-0.6,3179,-0.7050391311039275
PUT,2020-Q3,0-7,-0.1 – 0.1,2285,-0.4336440319978252
PUT,2020-Q3,0-7,-0.3 – -0.1,1887,-0.9720982385342246
PUT,2020-Q3,0-7,-0.6 – -0.3,1379,-1.0
PUT,2020-Q3,0-7,0.1 – 0.3,1433,-0.03866202825803548
PUT,2020-Q3,0-7,0.3 – 0.6,630,-0.007774572345315669
PUT,2020-Q3,0-7,≤-0.6,1118,-1.0
PUT,2020-Q3,121-365,-0.1 – 0.1,2156,-0.8829985946210842
PUT,2020-Q3,121-365,-0.3 – -0.1,2344,-0.8680095932787965
PUT,2020-Q3,121-365,-0.6 – -0.3,3156,-0.8546270786890591
PUT,2020-Q3,121-365,0.1 – 0.3,1521,-0.7018172767371945
PUT,2020-Q3,121-365,0.3 – 0.6,1073,-0.4029799415425819
PUT,2020-Q3,121-365,≤-0.6,5648,-0.9661954045701936
PUT,2020-Q3,15-30,-0.1 – 0.1,4585,-0.8409565358256001
PUT,2020-Q3,15-30,-0.3 – -0.1,3039,-0.990622582302582
PUT,2020-Q3,15-30,-0.6 – -0.3,2760,-1.0
PUT,2020-Q3,15-30,0.1 – 0.3,3051,-0.36945861078584025
PUT,2020-Q3,15-30,0.3 – 0.6,1760,-0.1764234843101418
PUT,2020-Q3,15-30,≤-0.6,1743,-1.0
PUT,2020-Q3,31-60,-0.1 – 0.1,4446,-0.9395315921895859
PUT,2020-Q3,31-60,-0.3 – -0.1,2795,-1.0
PUT,2020-Q3,31-60,-0.6 – -0.3,2699,-1.0
PUT,2020-Q3,31-60,0.1 – 0.3,3189,-0.5361097782638721
PUT,2020-Q3,31-60,0.3 – 0.6,1861,-0.2536535803928068
PUT,2020-Q3,31-60,≤-0.6,1572,-1.0
PUT,2020-Q3,61-120,-0.1 – 0.1,1352,-0.9288337041524989
PUT,2020-Q3,61-120,-0.3 – -0.1,1221,-1.0
PUT,2020-Q3,61-120,-0.6 – -0.3,1579,-1.0
PUT,2020-Q3,61-120,0.1 – 0.3,1500,-0.556472204779909
PUT,2020-Q3,61-120,0.3 – 0.6,1273,-0.2649985348663886
PUT,2020-Q3,61-120,≤-0.6,1958,-1.0
PUT,2020-Q3,8-14,-0.1 – 0.1,1963,-0.6234702607072331
PUT,2020-Q3,8-14,-0.3 – -0.1,1472,-0.8947851734107864
PUT,2020-Q3,8-14,-0.6 – -0.3,1155,-1.0
PUT,2020-Q3,8-14,0.1 – 0.3,1207,-0.19153076663354324
PUT,2020-Q3,8-14,0.3 – 0.6,660,-0.08656164810688471
PUT,2020-Q3,8-14,≤-0.6,803,-1.0
PUT,2020-Q3,>365,-0.1 – 0.1,1407,1.5212829970292878
PUT,2020-Q3,>365,-0.3 – -0.1,1343,1.9122347832320643
PUT,2020-Q3,>365,-0.6 – -0.3,1624,2.023585331423989
PUT,2020-Q3,>365,0.1 – 0.3,1175,1.1485190318431941
PUT,2020-Q3,>365,0.3 – 0.6,881,0.8609520804052606
PUT,2020-Q3,>365,≤-0.6,3853,0.2930201467419775
PUT,2020-Q4,0-7,-0.1 – 0.1,2429,-0.2803111232136272
PUT,2020-Q4,0-7,-0.3 – -0.1,1389,-1.0
PUT,2020-Q4,0-7,-0.6 – -0.3,1275,-1.0
PUT,2020-Q4,0-7,0.1 – 0.3,1382,-0.007316394233145497
PUT,2020-Q4,0-7,0.3 – 0.6,1161,0.003362494539996122
PUT,2020-Q4,0-7,> 0.6,28,-0.005367345669240166
PUT,2020-Q4,0-7,≤-0.6,724,-1.0
PUT,2020-Q4,121-365,-0.1 – 0.1,1989,-0.2017710547766698
PUT,2020-Q4,121-365,-0.3 – -0.1,1824,0.6097308578794057
PUT,2020-Q4,121-365,-0.6 – -0.3,2089,1.4958545059866701
PUT,2020-Q4,121-365,0.1 – 0.3,1911,-0.20681973190946287
PUT,2020-Q4,121-365,0.3 – 0.6,1196,0.09797935916966977
PUT,2020-Q4,121-365,≤-0.6,3743,-0.11994167426495991
PUT,2020-Q4,15-30,-0.1 – 0.1,4369,-0.47476094397080904
PUT,2020-Q4,15-30,-0.3 – -0.1,2538,-0.9866274828589544
PUT,2020-Q4,15-30,-0.6 – -0.3,2427,-1.0
PUT,2020-Q4,15-30,0.1 – 0.3,2427,0.005330678162039766
PUT,2020-Q4,15-30,0.3 – 0.6,2134,0.010798977299128204
PUT,2020-Q4,15-30,> 0.6,46,-0.0069926612249681715
PUT,2020-Q4,15-30,≤-0.6,1518,-1.0
PUT,2020-Q4,31-60,-0.1 – 0.1,4088,-0.6646126253097572
PUT,2020-Q4,31-60,-0.3 – -0.1,2471,-0.9997882660224812
PUT,2020-Q4,31-60,-0.6 – -0.3,2412,-1.0
PUT,2020-Q4,31-60,0.1 – 0.3,2769,-0.05138133948156513
PUT,2020-Q4,31-60,0.3 – 0.6,2229,0.0008988389139248597
PUT,2020-Q4,31-60,> 0.6,14,-0.023156581637194678
PUT,2020-Q4,31-60,≤-0.6,2133,-1.0
PUT,2020-Q4,61-120,-0.1 – 0.1,1611,-0.6777493322220641
PUT,2020-Q4,61-120,-0.3 – -0.1,1462,-0.9994553177219958
PUT,2020-Q4,61-120,-0.6 – -0.3,1695,-1.0
PUT,2020-Q4,61-120,0.1 – 0.3,1807,-0.13802379095346937
PUT,2020-Q4,61-120,0.3 – 0.6,1458,-0.024558406020891144
PUT,2020-Q4,61-120,≤-0.6,2281,-1.0
PUT,2020-Q4,8-14,-0.1 – 0.1,1931,-0.3519431315737132
PUT,2020-Q4,8-14,-0.3 – -0.1,1105,-0.9997160243407708
PUT,2020-Q4,8-14,-0.6 – -0.3,1016,-1.0
PUT,2020-Q4,8-14,0.1 – 0.3,1085,-0.018819842318365535
PUT,2020-Q4,8-14,0.3 – 0.6,903,-0.006719922162200372
PUT,2020-Q4,8-14,> 0.6,24,-0.026459451736186603
PUT,2020-Q4,8-14,≤-0.6,564,-1.0
PUT,2020-Q4,>365,-0.1 – 0.1,819,2.1883173679153964
PUT,2020-Q4,>365,-0.3 – -0.1,1091,3.0857704703508455
PUT,2020-Q4,>365,-0.6 – -0.3,1335,4.448000671734187
PUT,2020-Q4,>365,0.1 – 0.3,822,1.4757671175783924
PUT,2020-Q4,>365,0.3 – 0.6,904,1.0334025314646125
PUT,2020-Q4,>365,≤-0.6,3957,2.1749488039771867
PUT,2021-Q1,0-7,-0.1 – 0.1,2529,-0.21827069380542702
PUT,2021-Q1,0-7,-0.3 – -0.1,1404,-0.9976717826180191
PUT,2021-Q1,0-7,-0.6 – -0.3,1508,-1.0
PUT,2021-Q1,0-7,0.1 – 0.3,1760,-0.019426073496907736
PUT,2021-Q1,0-7,0.3 – 0.6,1310,0.00411820187352806
PUT,2021-Q1,0-7,> 0.6,11,-0.08587416182274678
PUT,2021-Q1,0-7,≤-0.6,792,-1.0
PUT,2021-Q1,121-365,-0.1 – 0.1,2163,2.0551337204231515
PUT,2021-Q1,121-365,-0.3 – -0.1,1581,4.10783604177666
PUT,2021-Q1,121-365,-0.6 – -0.3,1530,6.040418208833648
PUT,2021-Q1,121-365,0.1 – 0.3,1607,0.9969587296306544
PUT,2021-Q1,121-365,0.3 – 0.6,1567,0.7177007595883598
PUT,2021-Q1,121-365,> 0.6,1542,0.5177696609272789
PUT,2021-Q1,121-365,≤-0.6,3723,0.7133719673526184
PUT,2021-Q1,15-30,-0.1 – 0.1,4774,-0.29418166691001907
PUT,2021-Q1,15-30,-0.3 – -0.1,2757,-0.7410031444304983
PUT,2021-Q1,15-30,-0.6 – -0.3,2988,-1.0
PUT,2021-Q1,15-30,0.1 – 0.3,3139,-0.23975676023983444
PUT,2021-Q1,15-30,0.3 – 0.6,2477,-0.12287111862589252
PUT,2021-Q1,15-30,> 0.6,22,-0.1354374077565565
PUT,2021-Q1,15-30,≤-0.6,1186,-1.0
PUT,2021-Q1,31-60,-0.1 – 0.1,4730,-0.5404419378294595
PUT,2021-Q1,31-60,-0.3 – -0.1,2854,-0.9506661880782713
PUT,2021-Q1,31-60,-0.6 – -0.3,2991,-1.0
PUT,2021-Q1,31-60,0.1 – 0.3,3160,-0.3266613740652402
PUT,2021-Q1,31-60,0.3 – 0.6,2536,-0.18451335231892274
PUT,2021-Q1,31-60,> 0.6,18,-0.40159712887229326
PUT,2021-Q1,31-60,≤-0.6,1021,-1.0
PUT,2021-Q1,61-120,-0.1 – 0.1,1713,-0.9408648921696271
PUT,2021-Q1,61-120,-0.3 – -0.1,1222,-1.0
PUT,2021-Q1,61-120,-0.6 – -0.3,1374,-1.0
PUT,2021-Q1,61-120,0.1 – 0.3,1848,-0.694471348849618
PUT,2021-Q1,61-120,0.3 – 0.6,1640,-0.4045037909086179
PUT,2021-Q1,61-120,> 0.6,14,-0.40849208547877003
PUT,2021-Q1,61-120,≤-0.6,1679,-1.0
PUT,2021-Q1,8-14,-0.1 – 0.1,2131,-0.2485845233773844
PUT,2021-Q1,8-14,-0.3 – -0.1,1159,-0.8416172480866013
PUT,2021-Q1,8-14,-0.6 – -0.3,1245,-1.0
PUT,2021-Q1,8-14,0.1 – 0.3,1385,-0.09347542720629208
PUT,2021-Q1,8-14,0.3 – 0.6,1040,-0.02296391826372324
PUT,2021-Q1,8-14,> 0.6,17,-0.1082179639909066
PUT,2021-Q1,8-14,≤-0.6,616,-1.0
PUT,2021-Q1,>365,-0.1 – 0.1,458,2.6798128379626873
PUT,2021-Q1,>365,-0.3 – -0.1,605,4.0137019925380075
PUT,2021-Q1,>365,-0.6 – -0.3,746,6.599613947926242
PUT,2021-Q1,>365,0.1 – 0.3,471,1.7257411924250123
PUT,2021-Q1,>365,0.3 – 0.6,591,1.1515980688697136
PUT,2021-Q1,>365,> 0.6,3,0.7549556465774229
PUT,2021-Q1,>365,≤-0.6,2124,5.6465499550717135
PUT,2021-Q2,0-7,-0.1 – 0.1,2812,-0.7029583381850725
PUT,2021-Q2,0-7,-0.3 – -0.1,2564,-1.0
PUT,2021-Q2,0-7,-0.6 – -0.3,1933,-1.0
PUT,2021-Q2,0-7,0.1 – 0.3,1532,-0.1165460157852358
PUT,2021-Q2,0-7,0.3 – 0.6,582,-0.07623831906969682
PUT,2021-Q2,0-7,≤-0.6,1533,-1.0
PUT,2021-Q2,121-365,-0.1 – 0.1,2872,4.818475622518931
PUT,2021-Q2,121-365,-0.3 – -0.1,2545,8.845683610779341
PUT,2021-Q2,121-365,-0.6 – -0.3,2455,9.969238539799246
PUT,2021-Q2,121-365,0.1 – 0.3,2586,2.2510416652471394
PUT,2021-Q2,121-365,0.3 – 0.6,3625,1.1239893715632008
PUT,2021-Q2,121-365,> 0.6,1079,0.6311528966438308
PUT,2021-Q2,121-365,≤-0.6,3696,4.107440437294266
PUT,2021-Q2,15-30,-0.1 – 0.1,5548,-0.10172695861785658
PUT,2021-Q2,15-30,-0.3 – -0.1,4256,-0.3232202138824041
PUT,2021-Q2,15-30,-0.6 – -0.3,3339,-0.7133872416891285
PUT,2021-Q2,15-30,0.1 – 0.3,3002,-0.19549167657848768
PUT,2021-Q2,15-30,0.3 – 0.6,1425,-0.2010623511167861
PUT,2021-Q2,15-30,≤-0.6,2137,-1.0
PUT,2021-Q2,31-60,-0.1 – 0.1,5590,1.9984935195011388
PUT,2021-Q2,31-60,-0.3 – -0.1,3328,1.3434495192307692
PUT,2021-Q2,31-60,-0.6 – -0.3,2856,0.3942577030812325
PUT,2021-Q2,31-60,0.1 – 0.3,3339,0.2627192416211736
PUT,2021-Q2,31-60,0.3 – 0.6,1720,-0.18484998123389174
PUT,2021-Q2,31-60,≤-0.6,2054,-0.18062317429406036
PUT,2021-Q2,61-120,-0.1 – 0.1,1759,4.07150412966616
PUT,2021-Q2,61-120,-0.3 – -0.1,1840,6.359239130434783
PUT,2021-Q2,61-120,-0.6 – -0.3,1883,6.045140732873075
PUT,2021-Q2,61-120,0.1 – 0.3,1849,1.122988946362168
PUT,2021-Q2,61-120,0.3 – 0.6,1007,0.13334492380342072
PUT,2021-Q2,61-120,≤-0.6,1551,4.776667248587549
