option_type,quarter,DTE_bin,log_m_bin,n,mean_return
CALL,2020-Q2,61-120,0.1 – 0.3,1142,5.542632997786908
CALL,2020-Q2,61-120,0.3 – 0.6,760,0.75439505910047
CALL,2020-Q2,61-120,≤-0.6,1067,0.6687347829534519
CALL,2020-Q2,8-14,-0.1 – 0.1,1363,0.6249843621428165
CALL,2020-Q2,8-14,-0.3 – -0.1,1091,0.2852215009164675
CALL,2020-Q2,8-14,-0.6 – -0.3,777,0.1593943922897556
CALL,2020-Q2,8-14,0.1 – 0.3,968,-0.7110400182329419
CALL,2020-Q2,8-14,0.3 – 0.6,386,-1.0
CALL,2020-Q2,8-14,≤-0.6,654,0.0985784752442753
CALL,2020-Q2,>365,-0.1 – 0.1,1297,1.7104043274615681
CALL,2020-Q2,>365,-0.3 – -0.1,1260,1.235993796898987
CALL,2020-Q2,>365,-0.6 – -0.3,1836,0.5736474701069412
CALL,2020-Q2,>365,0.1 – 0.3,1449,1.958391585874312
CALL,2020-Q2,>365,0.3 – 0.6,1043,2.7847124904615694
CALL,2020-Q2,>365,> 0.6,14,4.5
CALL,2020-Q2,>365,≤-0.6,3179,0.30378667553795313
CALL,2020-Q3,0-7,-0.1 – 0.1,2285,-0.22636224225173696
CALL,2020-Q3,0-7,-0.3 – -0.1,1887,0.02469162478247802
CALL,2020-Q3,0-7,-0.6 – -0.3,1379,0.00953959701940732
CALL,2020-Q3,0-7,0.1 – 0.3,1433,-1.0
CALL,2020-Q3,0-7,0.3 – 0.6,630,-1.0
CALL,2020-Q3,0-7,≤-0.6,1118,0.0018669307347901332
CALL,2020-Q3,121-365,-0.1 – 0.1,2156,0.6563462159777268
CALL,2020-Q3,121-365,-0.3 – -0.1,2344,0.6097401358632555
CALL,2020-Q3,121-365,-0.6 – -0.3,3156,0.6057262234574949
CALL,2020-Q3,121-365,0.1 – 0.3,1521,0.4524094981430319
CALL,2020-Q3,121-365,0.3 – 0.6,1073,-0.2361603159775557
CALL,2020-Q3,121-365,≤-0.6,5648,0.504700944379538
CALL,2020-Q3,15-30,-0.1 – 0.1,4585,0.4902446029257148
CALL,2020-Q3,15-30,-0.3 – -0.1,3039,0.3193332677057871
CALL,2020-Q3,15-30,-0.6 – -0.3,2760,0.1903033893437659
CALL,2020-Q3,15-30,0.1 – 0.3,3051,-0.7477992658251333
CALL,2020-Q3,15-30,0.3 – 0.6,1760,-1.0
CALL,2020-Q3,15-30,≤-0.6,1743,0.0894815413127607
CALL,2020-Q3,31-60,-0.1 – 0.1,4446,0.6389744302860599
CALL,2020-Q3,31-60,-0.3 – -0.1,2795,0.4774210667405926
CALL,2020-Q3,31-60,-0.6 – -0.3,2699,0.2999563949502967
CALL,2020-Q3,31-60,0.1 – 0.3,3189,-0.31196927091354604
CALL,2020-Q3,31-60,0.3 – 0.6,1861,-1.0
CALL,2020-Q3,31-60,≤-0.6,1572,0.20579586298053726
CALL,2020-Q3,61-120,-0.1 – 0.1,1352,0.44069713247899217
CALL,2020-Q3,61-120,-0.3 – -0.1,1221,0.39803425376118545
CALL,2020-Q3,61-120,-0.6 – -0.3,1579,0.2579683593928852
CALL,2020-Q3,61-120,0.1 – 0.3,1500,-0.2113893808585616
CALL,2020-Q3,61-120,0.3 – 0.6,1273,-0.9995918772742458
CALL,2020-Q3,61-120,≤-0.6,1958,0.11592899835045739
CALL,2020-Q3,8-14,-0.1 – 0.1,1963,0.17195277501791303
CALL,2020-Q3,8-14,-0.3 – -0.1,1472,0.14711008354291216
CALL,2020-Q3,8-14,-0.6 – -0.3,1155,0.07855828965049681
CALL,2020-Q3,8-14,0.1 – 0.3,1207,-0.9710810346873102
CALL,2020-Q3,8-14,0.3 – 0.6,660,-1.0
CALL,2020-Q3,8-14,≤-0.6,803,0.044605266084105165
CALL,2020-Q3,>365,-0.1 – 0.1,1407,-1.0
CALL,2020-Q3,>365,-0.3 – -0.1,1343,-1.0
CALL,2020-Q3,>365,-0.6 – -0.3,1624,-0.9991125026630356
CALL,2020-Q3,>365,0.1 – 0.3,1175,-1.0
CALL,2020-Q3,>365,0.3 – 0.6,881,-1.0
CALL,2020-Q3,>365,≤-0.6,3853,-0.8856442361609693
CALL,2020-Q4,0-7,-0.1 – 0.1,2429,-0.2237261481917032
CALL,2020-Q4,0-7,-0.3 – -0.1,1389,-0.02138080280829514
CALL,2020-Q4,0-7,-0.6 – -0.3,1275,-0.004101696048791611
CALL,2020-Q4,0-7,0.1 – 0.3,1382,-0.8201697293384814
CALL,2020-Q4,0-7,0.3 – 0.6,1161,-1.0
CALL,2020-Q4,0-7,> 0.6,28,-1.0
CALL,2020-Q4,0-7,≤-0.6,724,-0.013531479613383919
CALL,2020-Q4,121-365,-0.1 – 0.1,1989,0.7167195505969994
CALL,2020-Q4,121-365,-0.3 – -0.1,1824,0.05172161801107904
CALL,2020-Q4,121-365,-0.6 – -0.3,2089,-0.022089622571813194
CALL,2020-Q4,121-365,0.1 – 0.3,1911,0.566835467769838
CALL,2020-Q4,121-365,0.3 – 0.6,1196,-0.9396545373003155
CALL,2020-Q4,121-365,≤-0.6,3743,0.2737788933211374
CALL,2020-Q4,15-30,-0.1 – 0.1,4369,-0.6697184591068351
CALL,2020-Q4,15-30,-0.3 – -0.1,2538,-0.09541104560814757
CALL,2020-Q4,15-30,-0.6 – -0.3,2427,-0.024854053349342833
CALL,2020-Q4,15-30,0.1 – 0.3,2427,-1.0
CALL,2020-Q4,15-30,0.3 – 0.6,2134,-1.0
CALL,2020-Q4,15-30,> 0.6,46,-1.0
CALL,2020-Q4,15-30,≤-0.6,1518,-0.028310279085665534
CALL,2020-Q4,31-60,-0.1 – 0.1,4088,-0.6414787175022416
CALL,2020-Q4,31-60,-0.3 – -0.1,2471,-0.08109454398741928
CALL,2020-Q4,31-60,-0.6 – -0.3,2412,-0.01377087971464093
CALL,2020-Q4,31-60,0.1 – 0.3,2769,-0.9895453783598516
CALL,2020-Q4,31-60,0.3 – 0.6,2229,-1.0
CALL,2020-Q4,31-60,> 0.6,14,-1.0
CALL,2020-Q4,31-60,≤-0.6,2133,-0.030587075754669363
CALL,2020-Q4,61-120,-0.1 – 0.1,1611,-0.5555419283224754
CALL,2020-Q4,61-120,-0.3 – -0.1,1462,-0.1385769921667926
CALL,2020-Q4,61-120,-0.6 – -0.3,1695,-0.02503189581054962
CALL,2020-Q4,61-120,0.1 – 0.3,1807,-0.9892755536394863
CALL,2020-Q4,61-120,0.3 – 0.6,1458,-1.0
CALL,2020-Q4,61-120,≤-0.6,2281,-0.05784733359391814
CALL,2020-Q4,8-14,-0.1 – 0.1,1931,-0.36755120864377316
CALL,2020-Q4,8-14,-0.3 – -0.1,1105,-0.04920674998788693
CALL,2020-Q4,8-14,-0.6 – -0.3,1016,-0.003866583792179708
CALL,2020-Q4,8-14,0.1 – 0.3,1085,-0.9441539359748037
CALL,2020-Q4,8-14,0.3 – 0.6,903,-1.0
CALL,2020-Q4,8-14,> 0.6,24,-1.0
CALL,2020-Q4,8-14,≤-0.6,564,-0.023115780646359857
CALL,2020-Q4,>365,-0.1 – 0.1,819,-1.0
CALL,2020-Q4,>365,-0.3 – -0.1,1091,-1.0
CALL,2020-Q4,>365,-0.6 – -0.3,1335,-1.0
CALL,2020-Q4,>365,0.1 – 0.3,822,-1.0
CALL,2020-Q4,>365,0.3 – 0.6,904,-1.0
